Tarefa;Evento Plugin
Acompanhar_Abordagem.manualTask;Workforce_UpdateTaskSLA_Plugin
Acompanhar_Abordagem_PE.manualTask;plugin_Update_Task_SLA
Aguardando_Solicitacao_Agendamento.manualTask;Workforce_received
Analisar_Viabilidade_de_Fibra_Optica.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha-Alocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Alocar_IP_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Ativar_Rede.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Ativar_Rede_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_IP_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_P2P.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_P2P_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_PE_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Inventario_Tx.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Monitoramento_Gerencia.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Par_Metalico.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Par_Metalico_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Perfil_do_Cliente_no_Inventario.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha-Atualizar_Perfil_do_Cliente_no_Inventario_PE.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Atualizar_Perfil_do_Cliente_no_Inventario_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha-Atualizar_Perfil_no_Ativador.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha-Atualizar_Perfil_no_Ativador_Tx.manualTask;Workforce_UpdateTaskSLA_Plugin
Analise_de_Falha-Cancelar_Alocar_IP.manualTask;WorkforceAndBuscaSLA_Plugin
Analise_de_Falha-Cancelar_Alocar_IP_ADSL.manualTask;WorkforceAndBuscaSLA_Plugin
